date,Sun-Earth (AU),Sun-Cassini (AU),Earth-Cassini (AU),Impact parameter (AU),Impact parameter (Rsun),LE (AU),LC (AU),LE/rE,LC/rC,LE/rE + LC/rC,Shapiro (s),Shapiro (us),Shapiro JG (s),Shapiro JG (us),y,y x1e13,yJG,yJG x1e13,Shapiro approx (s),Difference (ns)
A.D. 2002-Jun-06 00:45:00.0000,1.0147063949168418,7.369660764931235,8.35633054551055,0.2224301325502691,47.82963088837001,0.990027223877608,7.366303321632942,0.9756785103919087,0.9995444236301527,-0.024777065977938495,6.296833047422197e-05,62.96833047422197,7.269727315664062e-05,72.69727315664062,1.4702441003818326e-11,147.02441003818325,1.4884062510502438e-11,148.84062510502437,6.30911043035732e-05,-122.77382935122026
A.D. 2002-Jun-06 00:46:00.0000,1.0147064913006683,7.369663115224422,8.35633549040657,0.22242034387937945,47.82752600936746,0.9900295218407841,7.3663059685657855,0.975680682373232,0.9995444640268968,-0.024774853599871083,6.296921264040026e-05,62.96921264040026,7.269816621986704e-05,72.69816621986705,1.4703098306806404e-11,147.03098306806405,1.4884711738217212e-11,148.84711738217212,6.309197544096588e-05,-122.76280056562877
A.D. 2002-Jun-06 00:47:00.0000,1.0147065876821197,7.36966546551587,8.356340435188303,0.22241055518807165,47.82542112597435,0.9900318197040058,7.3663086154842965,0.9756828542579208,0.9995445044219061,-0.024772641320172983,6.297009484601879e-05,62.97009484601879,7.26990593220492e-05,72.69905932204921,1.470375566513397e-11,147.0375566513397,1.488536102127147e-11,148.8536102127147,6.309284661830079e-05,-122.75177228199578
A.D. 2002-Jun-06 00:48:00.0000,1.0147066840611967,7.369667815805582,8.356345379855751,0.2224007664763464,47.82331623819083,0.9900341174672733,7.3663112623884786,0.9756850260459747,0.9995445448151808,-0.024770429138844197,6.297097709108007e-05,62.97097709108007,7.26999524631896e-05,72.69995246318959,1.4704413083544408e-11,147.04413083544407,1.4886010364408603e-11,148.86010364408602,6.309371783558144e-05,-122.74074450136483
A.D. 2002-Jun-06 00:49:00.0000,1.014706780437899,7.369670166093559,8.356350324408918,0.22239097774420497,47.82121134601718,0.9900364151305867,7.366313909278333,0.9756871977373939,0.9995445852067211,-0.024768217055885167,6.297185937558882e-05,62.971859375588814,7.270084564329293e-05,72.70084564329294,1.470507056621641e-11,147.0507056621641,1.4886659771807297e-11,148.86659771807297,6.309458909281133e-05,-122.72971722251621
A.D. 2002-Jun-06 00:50:00.0000,1.0147068768122265,7.369672516379795,8.356355268847798,0.22238118899164797,47.81910644945352,0.990038712693945,7.366316556153853,0.9756893693321778,0.9995446255965263,-0.02476600507129567,6.297274169954802e-05,62.97274169954802,7.270173886236221e-05,72.7017388623622,1.470572810411496e-11,147.05728104114962,1.4887309234319605e-11,148.87309234319605,6.309546038999401e-05,-122.71869044599201
A.D. 2002-Jun-06 00:51:00.0000,1.0147069731841796,7.3696748666642975,8.356360213172394,0.22237140021867677,47.81700154850016,0.9900410101573492,7.3663192030150455,0.9756915408303268,0.9995446659845971,-0.024763793185075933,6.297362406296131e-05,62.973624062961306,7.270263212040105e-05,72.70263212040105,1.4706385706839767e-11,147.06385706839768,1.4887958761771106e-11,148.87958761771105,6.309633172713294e-05,-122.70766417162959
A.D. 2002-Jun-06 00:52:00.0000,1.0147070695537572,7.369677216947065,8.356365157382708,0.22236161142529204,47.81489664315722,0.9900433075207977,7.366321849861909,0.9756937122318404,0.9995447063709331,-0.024761581397226173,6.297450646583284e-05,62.97450646583284,7.270352541741362e-05,72.70352541741362,1.470704334547877e-11,147.07043345478772,1.4888608325023866e-11,148.88608325023867,6.309720310423167e-05,-122.69663839883265
A.D. 2002-Jun-06 00:53:00.0000,1.0147071659209603,7.369679567228093,8.35637010147873,0.22235182261149505,47.812791733424994,0.9900456047842915,7.36632449669444,0.975695883536719,0.9995447467555344,-0.024759369707746615,6.297538890816277e-05,62.97538890816276,7.270441875340005e-05,72.70441875340005,1.4707701053574473e-11,147.07701053574473,1.4889257957733324e-11,148.89257957733324,6.309807452129367e-05,-122.68561313090801
A.D. 2002-Jun-06 00:54:00.0000,1.0147072622857876,7.369681917507384,8.356375045460467,0.2223420337772866,47.810686819303655,0.990047901947829,7.36632714351264,0.9756980547449621,0.9995447871384009,-0.024757158116636813,6.297627138995927e-05,62.976271389959265,7.270531212836855e-05,72.70531212836855,1.4708358850326295e-11,147.08358850326294,1.4889907679211838e-11,148.89907679211836,6.30989459783225e-05,-122.67458836323425
A.D. 2002-Jun-06 00:55:00.0000,1.0147073586482405,7.3696842677849395,8.356379989327923,0.2223322449226675,47.808581900793364,0.9900501990114117,7.36632979031651,0.9757002258565699,0.9995448275195327,-0.024754946623897656,6.29771539112248e-05,62.9771539112248,7.270620554232156e-05,72.70620554232156,1.4709016663905836e-11,147.09016663905837,1.4890557417405135e-11,148.90557417405137,6.309981747532167e-05,-122.66356409686846
A.D. 2002-Jun-06 00:56:00.0000,1.0147074550083173,7.369686618060758,8.356384933081086,0.22232245604763914,47.80647697789442,0.9900524959750376,7.36633243710605,0.9757023968715421,0.9995448678989297,-0.024752735229528255,6.297803647195894e-05,62.97803647195894,7.270709899525864e-05,72.70709899525863,1.470967453734237e-11,147.09674537342372,1.489120721545543e-11,148.9120721545543,6.310068901229465e-05,-122.65254033571378
A.D. 2002-Jun-06 00:57:00.0000,1.0147075513660193,7.36968896833484,8.356389876719964,0.22231266715220208,47.80437205060696,0.9900547928387079,7.366335083881259,0.9757045677898786,0.9995449082765919,-0.0247505239335295,6.297891907216929e-05,62.97891907216929,7.270799248718741e-05,72.70799248718741,1.4710332504404283e-11,147.10332504404283,1.4891857107131094e-11,148.91857107131094,6.3101560589245e-05,-122.64151707571801
A.D. 2002-Jun-06 00:58:00.0000,1.0147076477213457,7.369691318607185,8.356394820244557,0.22230287823635764,47.802267118931255,0.9900570896024217,7.366337730642136,0.9757067386115794,0.9995449486525193,-0.024748312735900946,6.297980171185946e-05,62.979801711859466,7.27088860181115e-05,72.7088860181115,1.4710990512123773e-11,147.10990512123772,1.4892507039464344e-11,148.92507039464343,6.310243220617621e-05,-122.63049431674561
A.D. 2002-Jun-06 00:59:00.0000,1.0147077440742966,7.369693668877792,8.35639976365486,0.22229308930010658,47.80016218286747,0.9900593862661791,7.366340377388682,0.9757089093366446,0.9995449890267121,-0.024746101636643036,6.298068439103074e-05,62.98068439103074,7.270977958803215e-05,72.70977958803215,1.47116485798132e-11,147.11648579813198,1.4893157031767525e-11,148.93157031767527,6.310330386309182e-05,-122.61947206107342
